Number,RandomNumber
1,1
2,1
3,2
4,2
5,2
6,2
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,1
32,1
33,1
34,2
35,2
36,2
37,2
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,1
62,1
63,1
64,1
65,2
66,2
67,2
68,2
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,1
91,1
92,1
93,1
94,1
95,1
96,2
97,2
98,2
99,2
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,2
129,2
130,2
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,2
160,2
161,2
162,2
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,3
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,2
190,2
191,2
192,2
193,2
194,3
195,3
196,3
197,3
198,3
199,3
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,2
220,2
221,2
222,2
223,2
224,2
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,3
237,3
238,3
239,3
240,3
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,2
251,2
252,2
253,2
254,2
255,3
256,3
257,2
258,3
259,3
260,3
261,3
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,2
281,2
282,2
283,2
284,2
285,2
286,2
287,2
288,3
289,3
290,3
291,3
292,3
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,1
302,0
303,1
304,1
305,1
306,0
307,1
308,1
309,1
310,1
311,0
312,2
313,2
314,2
315,2
316,2
317,2
318,2
319,2
320,3
321,3
322,3
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,1
332,0
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,2
342,2
343,2
344,2
345,2
346,2
347,2
348,0
349,2
350,2
351,3
352,2
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,1
367,1
368,1
369,1
370,1
371,2
372,2
373,2
374,0
375,0
376,2
377,1
378,2
379,2
380,2
381,2
382,2
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,1
395,1
396,0
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,0
408,0
409,2
410,2
411,1
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,1
427,1
428,1
429,1
430,1
431,1
432,0
433,0
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,0
442,1
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,1
458,1
459,1
460,1
461,1
462,0
463,1
464,1
465,0
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,1
487,1
488,1
489,0
490,1
491,1
492,0
493,1
494,1
495,0
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,1
521,1
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,1
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,1